seed,hi,hj,freq_hj,hor_m_fim,pop_fim,fixou
1,8,11,0.6445,9.9335,223.2,misto
2,8,11,0.6131,9.8393,272.3,misto
3,8,11,0.5193,9.5579,321.1,misto
4,8,11,0.6659,9.9976,245.7,misto
5,8,11,0.5476,9.6429,292.2,misto
6,8,11,0.5364,9.6092,324.8,misto
7,8,11,0.6909,10.0728,312.5,misto
8,8,11,0.6136,9.8407,269.6,misto
1,8,12,0.5581,10.2325,225.5,misto
2,8,12,0.6897,10.7586,267.1,misto
3,8,12,0.5098,10.0392,326.7,misto
4,8,12,0.7361,10.9444,245.1,misto
5,8,12,0.6203,10.4812,294.1,misto
6,8,12,0.5601,10.2403,324.3,misto
7,8,12,0.6016,10.4065,312.2,misto
8,8,12,0.7187,10.8748,271.0,misto
1,8,9,0.7162,8.7162,224.9,misto
2,8,9,0.6633,8.6633,270.1,misto
3,8,9,0.5511,8.5511,320.6,misto
4,8,9,0.4061,8.4061,242.4,misto
5,8,9,0.4574,8.4574,298.1,misto
6,8,9,0.3345,8.3345,326.5,misto
7,8,9,0.5770,8.5770,314.1,misto
8,8,9,0.8152,8.8152,268.9,misto
1,9,10,0.6341,9.6341,224.9,misto
2,9,10,0.5017,9.5017,266.4,misto
3,9,10,0.5934,9.5934,319.2,misto
4,9,10,0.3102,9.3102,248.0,misto
5,9,10,0.5494,9.5494,295.1,misto
6,9,10,0.5685,9.5685,324.5,misto
7,9,10,0.4658,9.4658,314.8,misto
8,9,10,0.6059,9.6059,268.9,misto
1,9,11,0.6803,10.3607,223.9,misto
2,9,11,0.6310,10.2620,272.7,misto
3,9,11,0.5432,10.0863,324.4,misto
4,9,11,0.6195,10.2390,249.9,misto
5,9,11,0.4807,9.9613,291.6,misto
6,9,11,0.3478,9.6956,326.6,misto
7,9,11,0.4746,9.9492,308.1,misto
8,9,11,0.7042,10.4083,266.9,misto
1,9,12,0.8132,11.4395,224.6,misto
2,9,12,0.5701,10.7104,268.0,misto
3,9,12,0.5653,10.6959,322.3,misto
4,9,12,0.5967,10.7901,243.2,misto
5,9,12,0.4771,10.4314,291.7,misto
6,9,12,0.6403,10.9208,326.0,misto
7,9,12,0.6025,10.8074,314.8,misto
8,9,12,0.5626,10.6877,269.1,misto
