variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
uni,0.90,12,5,1,728575,356,29208,728753,0.125611,0.349429,-0.223818,0.278761,-0.0024,0.0401,-0.001824,0.046536,0.67779058218002319,0.079314,0.128813,0.7514
uni,0.90,12,5,2,728114,534,11899,728292,0.115429,0.349405,-0.233976,0.284573,0.0249,0.0163,-0.010845,0.034253,0.55336754024028778,-0.036763,0.085302,0.7436
uni,0.90,12,5,3,727653,712,6340,727831,0.111820,0.349409,-0.237589,0.287408,0.0200,0.0087,-0.014033,0.023548,0.30456267297267914,-0.038885,0.129374,0.3204
uni,0.90,12,5,4,727192,890,4123,727370,0.110482,0.349398,-0.238916,0.288155,0.0336,0.0057,-0.013515,0.018951,0.16423673927783966,-0.105509,0.164913,0.3317
uni,0.90,12,5,5,726731,1068,2838,726909,0.109956,0.349385,-0.239429,0.288680,0.0283,0.0039,-0.013225,0.016730,0.085092917084693909,-0.084297,0.183848,0.1219
uni,0.90,12,5,6,726270,1246,2088,726448,0.109735,0.349380,-0.239645,0.288704,0.0354,0.0029,-0.012899,0.015413,0.047913730144500732,-0.117714,0.198623,0.1853
uni,0.90,12,5,7,725809,1424,1574,725987,0.109634,0.349375,-0.239741,0.288921,0.0293,0.0022,-0.012751,0.014793,0.04332377016544342,-0.091805,0.199730,0.1188
uni,0.90,12,5,8,725348,1602,1188,725526,0.109583,0.349374,-0.239791,0.288853,0.0345,0.0016,-0.012597,0.014483,0.040087848901748657,-0.116685,0.206781,0.1853
uni,0.90,12,5,9,724887,1780,917,725065,0.109555,0.349363,-0.239809,0.288969,0.0297,0.0013,-0.012611,0.014318,0.037564545869827271,-0.096582,0.206682,0.1373
uni,0.90,12,5,10,724426,1958,733,724604,0.109536,0.349356,-0.239819,0.288874,0.0343,0.0010,-0.012686,0.014297,0.035966500639915466,-0.118447,0.213620,0.1868
uni,0.90,12,5,11,723965,2136,580,724143,0.109522,0.349350,-0.239828,0.288981,0.0295,0.0008,-0.012889,0.014415,0.034925192594528198,-0.102338,0.214567,0.1447
uni,0.90,12,6,0,801063,316,752378,0,0.263126,0.349880,-0.086754,0.149676,0.6930,0.9392,-0.096021,0.149024,1.5555555522441864,-9.000000,-9.000000,-9.0000
uni,0.90,12,6,1,800425,632,58981,800741,0.136821,0.349829,-0.213008,0.275117,0.0321,0.0737,-0.010990,0.053862,1.199999988079071,0.097305,0.147691,0.7738
uni,0.90,12,6,2,799787,948,30291,800103,0.127262,0.349804,-0.222542,0.280311,0.0484,0.0379,-0.014524,0.037704,0.74809172749519348,-0.023456,0.094859,0.7203
